STRAIN	NCBI REFSEQ ID
Rhizobium leguminosarum SEMIA 488 [RHIZ|PSYMB]	GCF_014206965.1
Rhizobium leguminosarum SEMIA 491 [RHIZ|PSYMB]	GCF_014198795.1
Rhizobium leguminosarum SEMIA 499 [RHIZ|PSYMB]	GCF_014198835.1
Rhizobium leguminosarum SEMIA 4011 [RHIZ|PSYMB]	GCF_014205785.1
Rhizobium leguminosarum SEMIA 4016 [RHIZ|PSYMB]	GCF_014200035.1
Rhizobium leguminosarum SEMIA 4022 [RHIZ|PSYMB]	GCF_014200055.1
Rhizobium leguminosarum SEMIA 4024 [RHIZ|PSYMB]	GCF_014200075.1
Rhizobium leguminosarum SEMIA 4025 [RHIZ|PSYMB]	GCF_014207035.1
Rhizobium leguminosarum bv. viciae BIHB 1217 [RHIZ|PSYMB]	GCF_002243365.1
Rhizobium leguminosarum bv. viciae BIHB 1148 [RHIZ|PSYMB]	GCF_002240185.1
Rhizobium lentis SEMIA 490 [RHIZ|PSYMB]	GCF_014198785.1
Rhizobium lentis SEMIA 4033 [RHIZ|PSYMB]	GCF_014200135.1
Rhizobium lentis SEMIA 4034 [RHIZ|PSYMB]	GCF_014200155.1
Rhizobium lentis SEMIA 4036 [RHIZ|PSYMB]	GCF_014200175.1
Rhizobium leucaenae SEMIA 492 [RHIZ|PSYMB]	GCF_014198775.1
Rhizobium leucaenae SEMIA 4015 [RHIZ|PSYMB]	GCF_014207015.1
Rhizobium lusitanum YR374 [RHIZ]	GCF_000799975.1
Rhizobium lusitanum 1158 [RHIZ]	GCF_007829235.1
Rhizobium lusitanum SEMIA 4060 [RHIZ|PSYMB]	GCF_014207095.1
Rhizobium metallidurans DSM 26575 [RHIZ|PSYMB]	GCF_014196505.1
Rhizobium miluonense 1234 [RHIZ]	GCF_007829155.1
Rhizobium miluonense HAMBI 2971 [RHIZ|PSYMB]	GCF_900094545.1
Rhizobium mongolense SEMIA 4087 [RHIZ|PSYMB]	GCF_014197625.1
Rhizobium mongolense SEMIA 402 [RHIZ|PSYMB]	GCF_014197875.1
Rhizobium multihospitium HAMBI 2975 [RHIZ|PSYMB]	GCF_900094585.1
Rhizobium oryziradicis N19 [RHIZ]	GCF_001939045.1
Rhizobium paranaense SEMIA 4064 [RHIZ|PSYMB]	GCF_014200235.1
Rhizobium phaseoli sv. phaseoli N261 [RHIZ|PSYMB]	GCF_001664105.1
Rhizobium phaseoli sv. phaseoli N161 [RHIZ|PSYMB]	GCF_001664165.1
Rhizobium phaseoli sv. phaseoli N671 [RHIZ|PSYMB]	GCF_001664365.1
Rhizobium phaseoli sv. phaseoli R723 [RHIZ|PSYMB]	GCF_001664225.1
Rhizobium phaseoli sv. phaseoli R744 [RHIZ|PSYMB]	GCF_001664185.1
Rhizobium phaseoli sv. phaseoli R620 [RHIZ|PSYMB]	GCF_001664245.1
Rhizobium phaseoli sv. phaseoli N931 [RHIZ|PSYMB]	GCF_001664285.1
Rhizobium phaseoli sv. phaseoli N841 [RHIZ|PSYMB]	GCF_001664425.1
Rhizobium phaseoli sv. phaseoli R611 [RHIZ|PSYMB]	GCF_001664445.1
Rhizobium phaseoli sv. phaseoli N771 [RHIZ|PSYMB]	GCF_001664405.1
Rhizobium phaseoli sv. phaseoli R650 [RHIZ|PSYMB]	GCF_001664385.1
Rhizobium phaseoli sv. phaseoli R630 [RHIZ|PSYMB]	GCF_001664205.1
Rhizobium phaseoli sv. phaseoli N831 [RHIZ|PSYMB]	GCF_001664125.1
Rhizobium mesoamericanum DSM 28449 [RHIZ|PSYMB]	not_announced
Rhizobium rhizoryzae DSM 29514 [RHIZ]	GCF_014196605.1
Rhizobium pisi 27/80 [RHIZ|PSYMB]	GCF_014194205.1
Rhizobium sophoriradicis L101 [RHIZ|PSYMB]	GCF_002406495.1
Rhizobium sophoriradicis JJW1 [RHIZ|PSYMB]	GCF_002406505.1
Rhizobium sp. C5 [RHIZ|PSYMB]	GCF_002531935.1
Rhizobium sp. CCGE 510 [RHIZ|PSYMB]	GCF_000292525.1
Rhizobium sp. CF048 [RHIZ]	GCF_000799845.1
Rhizobium sp. CF080 [RHIZ|PSYMB]	GCF_000282095.2
Rhizobium sp. CF097 [RHIZ]	GCF_000744565.1
Rhizobium sp. CF258 [RHIZ]	GCF_000744575.1
Rhizobium sp. CF394 [RHIZ]	GCF_000746265.1
Rhizobium sp. GV031 [RHIZ]	GCF_004345965.1
Rhizobium sp. H4 [RHIZ|PSYMB]	GCF_002531775.1
Rhizobium sp. J15 [RHIZ|PSYMB]	GCF_002531825.1
Rhizobium sp. JKLM13E [RHIZ|PSYMB]	GCF_005860925.2
Rhizobium sp. JKLM19E [RHIZ|PSYMB]	GCF_005862185.2
Rhizobium sp. L18 [RHIZ|PSYMB]	GCF_002531905.1
Rhizobium sp. L43 [RHIZ|PSYMB]	GCF_002531725.1
Rhizobium sp. L9 [RHIZ|PSYMB]	GCF_002531885.1
Rhizobium sp. M1 [RHIZ|PSYMB]	GCF_002531805.1
Rhizobium sp. M10 [RHIZ|PSYMB]	GCF_002531955.1
Rhizobium sp. N113 [RHIZ|PSYMB]	GCF_001664345.1
Rhizobium sp. N1314 [RHIZ|PSYMB]	GCF_001664305.1
Rhizobium sp. N1341 [RHIZ|PSYMB]	GCF_001664085.1
Rhizobium sp. N324 [RHIZ|PSYMB]	GCF_001664485.1
Rhizobium sp. N541 [RHIZ|PSYMB]	GCF_001675095.1
Rhizobium sp. N561 [RHIZ|PSYMB]	GCF_001664265.1
Rhizobium sp. N621 [RHIZ|PSYMB]	GCF_001664325.1
Rhizobium sp. N6212 [RHIZ|PSYMB]	GCF_001664465.1
Rhizobium sp. N731 [RHIZ|PSYMB]	GCF_001664145.1
Rhizobium sp. N741 [RHIZ|PSYMB]	GCF_001664545.1
Rhizobium sp. N871 [RHIZ|PSYMB]	GCF_001664525.1
Rhizobium sp. N941 [RHIZ|PSYMB]	GCF_001675075.1
Rhizobium sp. OK494 [RHIZ]	GCF_000746325.1
Rhizobium sp. OK665 [RHIZ]	GCF_000745575.1
Rhizobium sp. OV201 [RHIZ]	GCF_000745785.1
Rhizobium sp. Root1203 [RHIZ]	GCF_001424945.1
Rhizobium sp. Root1204 [RHIZ]	GCF_001424965.1
Rhizobium sp. Root1212 [RHIZ]	GCF_001424985.1
Rhizobium sp. Root1220 [RHIZ]	GCF_001426265.1
Rhizobium sp. Root1240 [RHIZ]	GCF_001425145.1
Rhizobium sp. Root1334 [RHIZ]	GCF_001426665.1
Rhizobium sp. Root149 [RHIZ]	GCF_001427345.1
Rhizobium sp. Root268 [RHIZ]	GCF_001428925.1
Rhizobium sp. Root274 [RHIZ]	GCF_001429245.1
Rhizobium sp. Root482 [RHIZ]	GCF_001426565.1
Rhizobium sp. Root483D2 [RHIZ]	GCF_001426685.1
Rhizobium sp. Root491 [RHIZ]	GCF_001427205.1
Rhizobium sp. Root564 [RHIZ]	GCF_001427405.1
Rhizobium sp. Root651 [RHIZ]	GCF_001427625.1
Rhizobium sp. Root708 [RHIZ]	GCF_001429725.1
Rhizobium sp. Root73 [RHIZ]	GCF_001429075.1
Rhizobium sp. RSm-3 [RHIZ|PSYMB]	GCF_001854685.1
Rhizobium sp. S9 [RHIZ|PSYMB]	GCF_002531795.1
Rhizobium sp. WYCCWR10014 [RHIZ|PSYMB]	GCF_001657485.1
Rhizobium sp. YR060 [RHIZ]	GCA_000746335.1
Rhizobium sp. YR295 [RHIZ]	GCF_000745255.1
Rhizobium sp. YR519 [RHIZ]	GCF_000746385.1
Rhizobium sp. YR528 [RHIZ]	GCF_000799775.1
Rhizobium taibaishanense DSM 100021 [RHIZ|PSYMB]	GCF_014196735.1
Rhizobium tropici CF286 [RHIZ]	GCF_000800135.1
Rhizobium tropici CIAT899 [RHIZ|PSYMB]	not_announced
Rhizobium tropici YR635 [RHIZ]	GCF_000799925.1
Rhizobium tropici SEMIA 4079 [RHIZ|PSYMB]	GCF_014197585.1
Rhizobium tropici SEMIA 4059 [RHIZ|PSYMB]	GCF_014207055.1
Rhizobium tropici SEMIA 4063 [RHIZ|PSYMB]	GCF_014200185.1
Sinorhizobium fredii CCBAU 25509 [RHIZ]	GCF_000261865.1
Sinorhizobium fredii CCBAU 45436 [RHIZ]	GCF_000261885.1
Sinorhizobium fredii USDA 257 [RHIZ]	not_announced
Sinorhizobium fredii GR64 [RHIZ]	GCF_000219415.2
Sinorhizobium fredii PCH1 [RHIZ|PSYMB]	GCF_002531965.1
Sinorhizobium medicae WSM1115 [RHIZ|PSYMB]	GCF_000378785.1
Sinorhizobium medicae WSM244 [RHIZ|PSYMB]	GCF_000419785.1
Sinorhizobium meliloti 1A42 [RHIZ]	GCA_000287435.1
Rhizobium sp. 28MFCol1.1 [RHIZ]	not_announced
Sinorhizobium meliloti WSM1022 [RHIZ|PSYMB]	GCF_000510665.1
Sinorhizobium meliloti AK58 [RHIZ|PSYMB]	GCF_000473425.1
Sinorhizobium meliloti RRI128 [RHIZ|PSYMB]	GCF_000427745.1
Sinorhizobium meliloti 4H41 [RHIZ|PSYMB]	GCF_000375585.1
Sinorhizobium meliloti BO21CC [RHIZ|PSYMB]	GCF_000473405.1
Sinorhizobium meliloti GR4 [RHIZ|PSYMB]	GCF_000320385.2
Sinorhizobium meliloti 5A14 [RHIZ]	GCA_000287415.1
Sinorhizobium meliloti AE608H [RHIZ]	GCF_000287555.1
Sinorhizobium meliloti AK11 [RHIZ]	GCA_000287535.1
Sinorhizobium meliloti A0643DD [RHIZ]	GCA_000287575.1
Sinorhizobium meliloti A0641M [RHIZ]	GCA_000287455.1
Sinorhizobium meliloti C0431A [RHIZ]	GCA_000287375.1
Sinorhizobium meliloti AK75 [RHIZ]	GCA_000287515.2
Sinorhizobium meliloti C0438LL [RHIZ]	GCA_000287495.1
Sinorhizobium sp. BJ1 [RHIZ|PSYMB]	GCF_002531555.1
Sinorhizobium sp. FG01 [RHIZ|PSYMB]	GCF_002531875.1
Sinorhizobium sp. NG07B [RHIZ|PSYMB]	GCF_002532005.1
Sinorhizobium terangae SEMIA 6460 [RHIZ|PSYMB]	GCF_014197705.1
Kandeliimicrobium roseum XY-R6 [RHIZ]	GCF_002869745.1
Labrenzia suaedae DSM 22153 [RHIZ]	GCF_900142725.1
Paracoccus bengalensis DSM 17099 [RHIZ]	GCF_003386575.1
Paracoccus sphaerophysae HAMBI 3106 [RHIZ|PSYMB]	GCF_000763805.1
Azospirillum brasilense 2A1 [RHIZ]	GCF_002245955.1
Azospirillum brasilense sp7 [RHIZ|PSYMB]	GCF_001315015.1
Azospirillum brasilense Az39 [RHIZ]	GCF_000632475.1
Azospirillum halopraeferens DSM 3675 [RHIZ]	GCF_000429625.1
Azospirillum doebereinerae GSF71 [RHIZ]	GCF_003989665.1
Azospirillum lipoferum R1C [RHIZ]	GCF_900177475.1
Nitrospirillum amazonense Y2 [RHIZ|PSYMB|PGPB]	GCF_000225995.1
Azospirillum doebereinerae DSM 13131 [RHIZ]	not_announced
Niveispirillum irakense DSM 11586 [RHIZ]	GCF_000429645.1
Novosphingobium sp. GV002 [RHIZ]	GCF_004364785.1
Novosphingobium sp. GV013 [RHIZ]	GCF_004364115.1
Skermanella aerolata SEMIA 4010 [RHIZ|PSYMB]	not_announced
Novosphingobium sp. GV027 [RHIZ]	GCF_003058095.1
Novosphingobium sp. GV055 [RHIZ]	GCF_003050985.1
Novosphingobium sp. GV061 [RHIZ]	GCF_003058145.1
Novosphingobium sp. GV064 [RHIZ]	GCF_003046495.1
Novosphingobium sp. GV079 [RHIZ]	GCF_003058045.1
Rhizorhapis suberifaciens DSM 7465 [RHIZ]	GCF_014200045.1
Sphingomonas endophytica DSM 101535 [RHIZ]	GCF_014199415.1
Sphingomonas panacis DCY99 [RHIZ]	GCF_001717955.1
Sphingomonas sp. Root1294 [RHIZ]	GCF_001426255.1
Sphingomonas sp. Root241 [RHIZ]	GCF_001428865.1
Sphingomonas sp. Root50 [RHIZ]	GCF_001426825.1
Sphingomonas sp. Root710 [RHIZ]	GCF_001429065.1
Sphingomonas sp. Root720 [RHIZ]	GCF_001428605.1
Sphingomonas trueperi 1152a [RHIZ]	GCF_006716975.1
Sphingomonas wittichii YR128 [RHIZ]	GCF_000744515.1
Sphingopyxis sp. Root1497 [RHIZ]	GCF_001427085.1
Sphingopyxis sp. Root154 [RHIZ]	GCF_001427105.1
Sphingopyxis sp. Root214 [RHIZ]	GCF_001429105.1
Achromobacter aloeverae AVA-1 [RHIZ]	GCF_004121055.1
Bacillus sp. SLBN-3 [RHIZ|PSYMB|PGPB]	GCF_006715245.1
Pseudolabrys sp. Root1462 [RHIZ]	GCF_001426945.1
Xanthobacter tagetidis DSM 11105 [RHIZ]	GCF_014206845.1
Xanthobacter tagetidis ATCC 700314 [RHIZ]	GCF_003667445.1
Achromobacter sp. HZ28 [RHIZ|PSYMB]	GCF_002209495.1
Achromobacter sp. HZ34 [RHIZ|PSYMB]	GCF_002209485.1
Achromobacter sp. K91 [RHIZ]	GCF_003576205.1
Achromobacter sp. Root170 [RHIZ]	GCF_001428165.1
Achromobacter sp. Root565 [RHIZ]	GCF_001427425.1
Achromobacter sp. Root83 [RHIZ]	GCF_001428845.1
Alcaligenes faecalis AU14 [RHIZ]	GCF_005311025.1
Sphingomonas sp. 220AMFTsu3.1 [RHIZ]	not_announced
Sphingomonas zeicaulis DSM 100587 [RHIZ]	not_announced
Pusillimonas sp. YR330 [RHIZ]	GCF_004339425.1
Burkholderia cenocepacia CR318 [RHIZ]	GCF_002007585.1
Burkholderia cepacia 561 [RHIZ]	GCF_007829215.1
Burkholderia novacaledonica LMG 28615 [RHIZ]	GCF_900258035.1
Burkholderia sp. 604 [RHIZ]	GCF_007829195.1
Burkholderia sp. KJ006 [RHIZ|PSYMB|HAPATH]	not_announced
Burkholderia sp. UYPR1.413 [RHIZ|PSYMB]	GCF_000519245.1
Burkholderia silvatlantica PVA5 [RHIZ]	not_announced
Burkholderia vietnamiensis HI2297 [RHIZ]	GCF_001718815.1
Burkholderia vietnamiensis MSMB608WGS [RHIZ]	GCF_001718915.1
Cupriavidus gilardii JZ4 [RHIZ|PSYMB|PGPB]	GCF_001658125.1
Paraburkholderia dipogonis ICMP 19430 [RHIZ|PSYMB]	GCF_004402975.1
Paraburkholderia fungorum SEMIA 4007 [RHIZ|PSYMB]	GCF_014198855.1
Paraburkholderia fungorum SEMIA 4013 [RHIZ|PSYMB]	GCF_014205755.1
Paraburkholderia fungorum SEMIA 4056 [RHIZ|PSYMB]	GCF_014200165.1
Paraburkholderia kirstenboschensis RAU2d2 [RHIZ|PSYMB]	GCA_001636965.1
Paraburkholderia kururiensis M130 [RHIZ]	GCF_000341045.1
Paraburkholderia nodosa DSM 21604 [RHIZ|PSYMB]	GCF_000519185.1
Paraburkholderia piptadeniae STM7183 [RHIZ|PSYMB]	GCF_900007165.1
Paraburkholderia ribeironis STM 7296 [RHIZ|PSYMB]	GCF_900019265.1
Paraburkholderia sp. GV052 [RHIZ]	GCF_003208595.1
Paraburkholderia sp. GV060 [RHIZ]	GCF_004341315.1
Paraburkholderia sp. GV068 [RHIZ]	GCF_003058125.1
Paraburkholderia sp. GV072 [RHIZ]	GCF_003050715.1
Paraburkholderia sp. GV073 [RHIZ]	GCF_004346905.1
Paraburkholderia sprentiae WSM5005 [RHIZ|PPATH]	GCF_001865575.1
Paraburkholderia silvatlantica SRMrh-20 [RHIZ]	not_announced
Paraburkholderia tuberum STM678 [RHIZ|PSYMB]	not_announced
Ralstonia sp. UNCCL144 [RHIZ]	GCF_900099845.1
Acidovorax radicis N35 [RHIZ|PSYMB|PGPB]	GCF_000204195.1
Acidovorax radicis N35v [RHIZ|PSYMB|PGPB]	GCF_000204215.1
Acidovorax radicis 2721A [RHIZ]	GCF_007828905.1
Acidovorax sp. CF301 [RHIZ]	GCF_003053545.1
Acidovorax sp. CF316 [RHIZ|PSYMB]	GCF_000276605.1
Nocardioides sp. SLBN-35 [RHIZ|PSYMB|PGPB]	GCF_006715725.1
Acidovorax sp. Root217 [RHIZ]	GCF_001428645.1
Acidovorax sp. Root219 [RHIZ]	GCF_001428665.1
Acidovorax sp. Root267 [RHIZ]	GCF_001429215.1
Acidovorax sp. Root275 [RHIZ]	GCF_001428965.1
Acidovorax sp. Root402 [RHIZ]	GCF_001425125.1
Acidovorax sp. Root568 [RHIZ]	GCF_001427445.1
Acidovorax sp. Root70 [RHIZ]	GCF_001428225.1
Delftia sp. HK171 [RHIZ]	GCF_001886655.1
Diaphorobacter ruginosibacter DSM 27467 [RHIZ|PSYMB]	GCF_014395975.1
Pelomonas sp. BT06 [RHIZ]	GCF_003550215.1
Pelomonas sp. Root1217 [RHIZ]	GCF_001425705.1
Pelomonas sp. Root1237 [RHIZ]	GCF_001425055.1
Pelomonas sp. Root1444 [RHIZ]	GCF_001426885.1
Pelomonas sp. Root405 [RHIZ]	GCF_001425165.1
Pelomonas sp. Root662 [RHIZ]	GCF_001427705.1
Variovorax gossypii DSM 100435 [RHIZ]	GCF_003965815.1
Variovorax sp. 1180 [RHIZ]	GCF_007829135.1
Variovorax guangxiensis 34/80 [RHIZ|PSYMB]	GCF_014197655.1
Variovorax sp. 369 [RHIZ]	GCF_003955655.1
Variovorax sp. GV008 [RHIZ]	GCF_004341565.1
Variovorax sp. BT01 [RHIZ]	GCF_004340105.1
Variovorax sp. GV040 [RHIZ]	GCF_003053685.1
Variovorax sp. GV051 [RHIZ]	GCF_004345975.1
Variovorax sp. 160MFSha2.1 [RHIZ]	not_announced
Variovorax sp. 278MFTsu5.1 [RHIZ]	not_announced
Variovorax sp. 350MFTsu5.1 [RHIZ]	not_announced
Variovorax sp. 375MFSha3.1 [RHIZ]	not_announced
Variovorax sp. Root318D1 [RHIZ]	GCF_001424835.1
Variovorax sp. Root411 [RHIZ]	GCF_001425205.1
Variovorax sp. Root434 [RHIZ]	GCF_001426595.1
Variovorax paradoxus 295MFChir4.1 [RHIZ]	not_announced
Variovorax paradoxus 349MFTsu5.1 [RHIZ]	not_announced
Variovorax paradoxus 369MFTsu5.1 [RHIZ]	not_announced
Variovorax paradoxus CL14 [RHIZ]	not_announced
Variovorax sp. Root473 [RHIZ]	GCF_001426505.1
Collimonas arenae 515 [RHIZ]	GCF_007829005.1
Duganella sp. 1224 [RHIZ]	GCF_013408245.1
Duganella sp. GV039 [RHIZ]	GCF_003259655.1
Duganella sp. GV053 [RHIZ]	GCF_003208105.1
Duganella sp. GV066 [RHIZ]	GCF_003259495.1
Duganella sp. GV083 [RHIZ]	GCF_003217375.1
Duganella sp. GV089 [RHIZ]	GCF_003688795.1
Duganella sp. Root1480D1 [RHIZ]	GCF_001427305.1
Duganella sp. Root198D2 [RHIZ]	GCF_001428585.1
Duganella sp. Root336D2 [RHIZ]	GCF_001425005.1
Herbaspirillum hiltneri N3 [RHIZ]	GCF_001267925.1
Herbaspirillum hiltneri 3195 [RHIZ]	GCF_007829115.1
Herbaspirillum huttiense 1147 [RHIZ]	GCF_007829175.1
Herbaspirillum lusitanum P6-12 [RHIZ|PSYMB]	GCF_000256565.1
Herbaspirillum robiniae AA6 [RHIZ]	GCF_002025725.1
Herbaspirillum robiniae HZ10 [RHIZ|PSYMB]	GCF_002213415.1
Herbaspirillum seropedicae Os34 [RHIZ]	GCF_000300435.2
Herbaspirillum seropedicae Z67 [RHIZ]	GCF_001040945.1
Herbaspirillum sp. 3C11 [RHIZ|PSYMB]	GCF_004563825.1
Herbaspirillum sp. 3R-11 [RHIZ|PSYMB]	GCF_004563895.1
Herbaspirillum sp. 3R-3a1 [RHIZ|PSYMB]	GCF_003400355.1
Herbaspirillum sp. 3R11 [RHIZ|PSYMB]	GCF_004563925.1
Massilia sp. GV016 [RHIZ]	GCF_003053825.1
Massilia sp. GV045 [RHIZ]	GCF_003053665.1
Massilia sp. GV090 [RHIZ]	GCF_004341465.1
Massilia sp. GV097 [RHIZ]	GCF_004343185.1
Massilia sp. Root133 [RHIZ]	GCF_001426525.1
Massilia sp. Root1485 [RHIZ]	GCF_001427325.1
Massilia sp. Root335 [RHIZ]	GCF_001425685.1
Massilia sp. Root351 [RHIZ]	GCF_001425045.1
Massilia sp. Root418 [RHIZ]	GCF_001425265.1
Noviherbaspirillum sp. Root189 [RHIZ]	GCF_001428545.1
Azovibrio restrictus DSM 23866 [RHIZ]	GCF_000429665.1
Azospira oryzae DSM 21223 [RHIZ]	GCF_004217225.1
Methylibium sp. CF059 [RHIZ]	GCF_000799305.1
Methylibium sp. CF468 [RHIZ]	GCF_000799605.1
Methylibium sp. Root1272 [RHIZ]	GCF_001425905.1
Methylibium sp. YR605 [RHIZ]	GCF_000800095.1
Mitsuaria noduli HZ7 [RHIZ|PSYMB]	GCA_002205125.1
Rhizobacter sp. OV335 [RHIZ]	GCF_900142965.1
Rhizobacter sp. Root1221 [RHIZ]	GCF_001425785.1
Rhizobacter sp. Root1238 [RHIZ]	GCF_001425825.1
Rhizobacter sp. Root16D2 [RHIZ]	GCF_001428145.1
Rhizobacter sp. Root29 [RHIZ]	GCF_001424785.1
Rhizobacter sp. Root404 [RHIZ]	GCF_001425865.1
Azoarcus indigens DSM 12121 [RHIZ]	GCF_004361735.1
Azospira oryzae 6a3 [RHIZ]	not_announced
Arcobacter nitrofigilis DSM 7299 [RHIZ|PSYMB]	GCF_000092245.1
Azoarcus communis DSM 12120 [RHIZ]	not_announced
Desulfofaba hansenii DSM 12642 [RHIZ]	not_announced
Alteromonadaceae bacterium XY-R5 [RHIZ]	GCA_001660395.1
Atlantibacter hermannii DDE1 [RHIZ|PSYMB|PGPB]	GCF_000878365.1
Enterobacter asburiae 1216 [RHIZ]	GCF_003634515.1
Enterobacter asburiae 609 [RHIZ]	GCF_011758755.1
Enterobacter ludwigii AA4 [RHIZ]	GCF_002025685.1
Enterobacter sp. HK169 [RHIZ|PSYMB|PGPB]	GCF_001719105.1
Enterobacter sp. R4-368 [RHIZ]	not_announced
Enterobacter sp. Sa187 [RHIZ]	GCF_001888805.2
Klebsiella variicola DSM 15968 [RHIZ]	GCF_000828055.2
Klebsiella variicola DX120E [RHIZ]	GCF_000812205.2
Kosakonia oryzae Ola 51 [RHIZ|PSYMB|PGPB]	GCF_001658025.2
Kosakonia pseudosacchari NN143 [RHIZ]	GCF_002510255.1
Kosakonia sacchari SP1 [RHIZ|PSYMB]	not_announced
Mangrovibacter phragmitis MP23 [RHIZ]	GCF_001655675.1
Phytobacter diazotrophicus DSM 17806	GCA_004346725.1
Raoultella planticola ATCC 33531 [RHIZ]	GCF_000735435.1
Raoultella terrigena R1Gly [RHIZ]	GCF_000964285.1
Pantoea ananatis NN08200 [RHIZ]	GCF_004028255.1
Pantoea coffeiphila 342 [RHIZ]	GCF_002976475.1
Pantoea endophytica 596 [RHIZ]	GCF_002858935.1
Serratia odorifera 4Rx13 [RHIZ]	not_announced
Acinetobacter calcoaceticus GK1 [RHIZ|PSYMB|PGPB]	GCF_000952075.1
Acinetobacter sp. 3636 [RHIZ]	GCF_004339785.1
Acinetobacter sp. 3664 [RHIZ]	GCF_004364945.1
Acinetobacter sp. Root1280 [RHIZ]	GCF_001425285.1
Marinobacterium mangrovicola DSM 27697 [RHIZ]	GCF_004339595.1
Marinobacterium rhizophilum DSM 18822 [RHIZ]	GCF_000378045.1
Dickeya zeae ZJU1202 [PPATH]	GCF_000264075.1
Psychrosphaera haliotis UCD-MCMsp1aY [RHIZ]	GCF_009728465.1
Pseudomonas aeruginosa PGPR2 [RHIZ]	GCA_000412735.1
Pseudomonas brassicacearum TM1A3 [RHIZ|PSYMB]	GCF_001269635.1
Pseudomonas brassicacearum L13-6-12 [RHIZ]	GCF_001746815.1
Pseudomonas chlororaphis HT66 [RHIZ]	GCF_000597925.1
Pseudomonas chlororaphis piscium PCL1391 [RHIZ|PSYMB]	GCF_001630695.1
Pseudomonas chlororaphis PA23 [RHIZ]	not_announced
Pseudomonas fluorescens 513 [RHIZ]	GCF_014194145.1
Pseudomonas fluorescens PICF7 [RHIZ]	GCF_000963495.1
Pseudomonas fluorescens Ps006 [RHIZ|PSYMB|PGPB]	GCF_001541845.1
Pseudomonas graminis WP_8 [RHIZ]	GCF_004364335.1
Pseudomonas kilonensis P12 [RHIZ|PSYMB]	GCF_001269725.1
Pseudomonas fluorescens PF5 [RHIZ|PSYMB]	not_announced
Pseudomonas mosselii PtA1 [RHIZ]	GCF_002736065.1
Pseudomonas protegens CHA0 [RHIZ|PSYMB|PGPB]	GCF_000397205.1
Pseudomonas protegens FDAARGOS_307 [RHIZ]	GCF_002208745.2
Pseudomonas protegens H1F10C [RHIZ]	GCF_013407945.1
Pseudomonas putida MTCC 5279 [RHIZ]	GCF_000411615.1
Pseudomonas putida AA7 [RHIZ]	GCF_002025705.1
Pseudomonas sp. 478 [RHIZ]	GCF_003254125.1
Pseudomonas sp. 443 [RHIZ]	GCF_003384805.1
Pseudomonas sp. 424 [RHIZ]	GCF_003386005.1
Pseudomonas sp. 460 [RHIZ]	GCF_004346485.1
Pseudomonas sp. 113MF [RHIZ]	not_announced
Pseudomonas sp. DR 5-09 [RHIZ]	GCF_001655595.1
Pseudomonas sp. GM102 [RHIZ|PSYMB]	GCF_000282555.1
Pseudomonas sp. GM16 [RHIZ|PSYMB]	GCF_000282155.1
Pseudomonas sp. GM17 [RHIZ|PSYMB]	GCF_000282175.1
Pseudomonas sp. GM18 [RHIZ|PSYMB]	GCF_000282195.1
Pseudomonas sp. GM21 [RHIZ|PSYMB]	GCF_000282215.1
Pseudomonas sp. GM24 [RHIZ|PSYMB]	GCF_000282235.1
Pseudomonas sp. GM25 [RHIZ|PSYMB]	GCF_000282255.1
Pseudomonas sp. GM30 [RHIZ|PSYMB]	GCF_000282275.2
Pseudomonas sp. GM33 [RHIZ|PSYMB]	GCF_000282295.1
Pseudomonas sp. GM48 [RHIZ|PSYMB]	GCF_000282335.1
Pseudomonas sp. GM49 [RHIZ|PSYMB]	GCF_000282355.1
Pseudomonas sp. GM50 [RHIZ|PSYMB]	GCF_000282375.1
Pseudomonas sp. GM55 [RHIZ|PSYMB]	GCF_000282395.1
Pseudomonas sp. GM60 [RHIZ|PSYMB]	GCF_000282415.1
Pseudomonas sp. GM67 [RHIZ|PSYMB]	GCF_000282435.1
Pseudomonas sp. GM74 [RHIZ|PSYMB]	GCF_000282455.1
Pseudomonas sp. GM78 [RHIZ|PSYMB]	GCF_000282475.1
Pseudomonas sp. GM79 [RHIZ|PSYMB]	GCF_000282495.1
Pseudomonas sp. GM80 [RHIZ|PSYMB]	GCF_000282515.1
Pseudomonas sp. GM84 [RHIZ|PSYMB]	GCF_000282535.1
Pseudomonas sp. GR 6-02 [RHIZ]	GCF_001655615.1
Pseudomonas sp. GV012 [RHIZ]	GCF_003053625.1
Pseudomonas sp. GV021 [RHIZ]	GCF_003054105.1
Pseudomonas sp. GV041 [RHIZ]	GCF_003053605.1
Pseudomonas sp. GV047 [RHIZ]	GCF_003058245.1
Pseudomonas sp. GV054 [RHIZ]	GCF_003053695.1
Pseudomonas sp. GV058 [RHIZ]	GCF_003217435.1
Pseudomonas sp. GV071 [RHIZ]	GCF_003050835.1
Pseudomonas sp. GV077 [RHIZ]	GCF_004345935.1
Pseudomonas sp. GV085 [RHIZ]	GCF_003050925.1
Pseudomonas sp. GV087 [RHIZ]	GCF_004364075.1
Pseudomonas sp. GV091 [RHIZ]	GCF_003053805.1
Pseudomonas sp. GV105 [RHIZ]	GCF_003058185.1
Pseudomonas sp. MIACH [RHIZ]	GCF_001269925.1
Rhizobium sp. SLBN-4 [RHIZ|PSYMB|PGPB]	GCF_006716665.1
Pseudomonas sp. P97.38 [RHIZ|PSYMB]	GCF_001269745.1
